domain_slug,domain_name,domain_description,domain_sort_order,kc_slug,kc_name,kc_code,kc_description,parent_slug,level,is_active
manifestations-cliniques-s-aureus,"Manifestations Cliniques des Infections à S. aureus","Ce domaine détaille les diverses pathologies causées par Staphylococcus aureus, des infections cutanées localisées aux atteintes systémiques graves.",1,s-aureus-autres-localisations,"Identifier les autres localisations d'infections à S. aureus",,"Reconnaître les atteintes uro-génitales, neuro-méningées (abcès cérébral) et musculaires (pyomyosite) pouvant survenir après une bactériémie.",,1,true
manifestations-cliniques-s-aureus,"Manifestations Cliniques des Infections à S. aureus","Ce domaine détaille les diverses pathologies causées par Staphylococcus aureus, des infections cutanées localisées aux atteintes systémiques graves.",1,s-aureus-pneumopathie,"Diagnostiquer une pneumopathie staphylococcique",,"Identifier le contexte clinique typique (surinfection virale, grippe) et les caractéristiques radiologiques (nécrosante, abcès, pleurésie purulente) des pneumopathies à S. aureus.",,1,true
manifestations-cliniques-s-aureus,"Manifestations Cliniques des Infections à S. aureus","Ce domaine détaille les diverses pathologies causées par Staphylococcus aureus, des infections cutanées localisées aux atteintes systémiques graves.",1,s-aureus-staphylococcie-maligne-face,"Reconnaître la staphylococcie maligne de la face",,"Identifier les signes cliniques de cette urgence médicale et comprendre son évolution potentiellement fatale vers la thrombophlébite du sinus caverneux.",,1,true
manifestations-cliniques-s-aureus,"Manifestations Cliniques des Infections à S. aureus","Ce domaine détaille les diverses pathologies causées par Staphylococcus aureus, des infections cutanées localisées aux atteintes systémiques graves.",1,s-aureus-cutanees-folliculite-furoncle,"Identifier et prendre en charge la folliculite et le furoncle",,"Distinguer la folliculite (superficielle) du furoncle (profond et nécrosant) et reconnaître leurs complications comme l'anthrax et la furonculose.",s-aureus-infections-cutanees,2,true
manifestations-cliniques-s-aureus,"Manifestations Cliniques des Infections à S. aureus","Ce domaine détaille les diverses pathologies causées par Staphylococcus aureus, des infections cutanées localisées aux atteintes systémiques graves.",1,s-aureus-cutanees-impetigo,"Identifier et prendre en charge l'impétigo",,"Reconnaître l'aspect clinique de l'impétigo (vésicules, croûtes mélicériques), ses formes particulières et établir un plan de traitement adapté.",s-aureus-infections-cutanees,2,true
manifestations-cliniques-s-aureus,"Manifestations Cliniques des Infections à S. aureus","Ce domaine détaille les diverses pathologies causées par Staphylococcus aureus, des infections cutanées localisées aux atteintes systémiques graves.",1,s-aureus-cutanees-autres,"Reconnaître les autres infections cutanées (abcès, cellulite, panaris)",,"Identifier un abcès, une cellulite (DHBNN), un panaris ou une hidrosadénite comme des manifestations possibles d'infection staphylococcique.",s-aureus-infections-cutanees,2,true
manifestations-cliniques-s-aureus,"Manifestations Cliniques des Infections à S. aureus","Ce domaine détaille les diverses pathologies causées par Staphylococcus aureus, des infections cutanées localisées aux atteintes systémiques graves.",1,s-aureus-ioa-arthrite-purulente,"Diagnostiquer et prendre en charge l'arthrite purulente",,"Reconnaître les signes d'une arthrite septique, une urgence diagnostique et thérapeutique, et initier les démarches microbiologiques (ponction articulaire).",s-aureus-infections-osteoarticulaires,2,true
manifestations-cliniques-s-aureus,"Manifestations Cliniques des Infections à S. aureus","Ce domaine détaille les diverses pathologies causées par Staphylococcus aureus, des infections cutanées localisées aux atteintes systémiques graves.",1,s-aureus-ioa-spondylodiscite,"Diagnostiquer et prendre en charge la spondylodiscite",,"Identifier les signes cliniques et radiologiques (IRM) de la spondylodiscite et comprendre la nécessité de rechercher une endocardite associée.",s-aureus-infections-osteoarticulaires,2,true
syndromes-toxiniques-et-scn,"Syndromes Toxiniques et Infections à SCN","Ce domaine aborde les maladies médiées par les toxines staphylococciques et les infections causées par les staphylocoques à coagulase négative (SCN).",2,scn-infections,"Décrire les infections à staphylocoques à coagulase négative (SCN)",,"Identifier les SCN comme des germes opportunistes, principalement responsables d'infections nosocomiales sur matériel étranger.",,1,true
syndromes-toxiniques-et-scn,"Syndromes Toxiniques et Infections à SCN","Ce domaine aborde les maladies médiées par les toxines staphylococciques et les infections causées par les staphylocoques à coagulase négative (SCN).",2,staph-syndromes-toxiniques,"Diagnostiquer les syndromes toxiniques staphylococciques",,"Reconnaître les tableaux cliniques distincts provoqués par les toxines de S. aureus, qui ne nécessitent pas toujours la présence de la bactérie elle-même.",,1,true
syndromes-toxiniques-et-scn,"Syndromes Toxiniques et Infections à SCN","Ce domaine aborde les maladies médiées par les toxines staphylococciques et les infections causées par les staphylocoques à coagulase négative (SCN).",2,scn-infections-materiel-etranger,"Identifier les infections à SCN sur matériel étranger",,"Reconnaître que les prothèses (valvulaires, osseuses), cathéters et sondes sont les principaux facteurs de risque d'infections à SCN.",scn-infections,2,true
syndromes-toxiniques-et-scn,"Syndromes Toxiniques et Infections à SCN","Ce domaine aborde les maladies médiées par les toxines staphylococciques et les infections causées par les staphylocoques à coagulase négative (SCN).",2,staph-toxiniques-choc-toxique,"Reconnaître le choc toxique staphylococcique (TSS)",,"Identifier les portes d'entrée, les signes cliniques (fièvre, rash, hypotension, atteinte multisystémique) du TSS lié à la toxine TSST-1.",staph-syndromes-toxiniques,2,true
syndromes-toxiniques-et-scn,"Syndromes Toxiniques et Infections à SCN","Ce domaine aborde les maladies médiées par les toxines staphylococciques et les infections causées par les staphylocoques à coagulase négative (SCN).",2,staph-toxiniques-exfoliation-generalisee,"Reconnaître le syndrome d'exfoliation généralisée (SSSS)",,"Diagnostiquer le SSSS (ou syndrome de la peau ébouillantée), principalement chez le jeune enfant, causé par les toxines exfoliantes.",staph-syndromes-toxiniques,2,true
syndromes-toxiniques-et-scn,"Syndromes Toxiniques et Infections à SCN","Ce domaine aborde les maladies médiées par les toxines staphylococciques et les infections causées par les staphylocoques à coagulase négative (SCN).",2,staph-toxiniques-toxi-infection-alimentaire,"Reconnaître la toxi-infection alimentaire staphylococcique",,"Identifier les caractéristiques d'une TIAC à staphylocoque : incubation courte, symptômes digestifs, et lien avec une entérotoxine thermostable préformée.",staph-syndromes-toxiniques,2,true
prise-en-charge-globale,"Prise en Charge Globale des Infections Staphylococciques","Ce domaine synthétise les approches diagnostiques, thérapeutiques et préventives pour la gestion des infections staphylococciques.",3,staph-diagnostic,"Établir le diagnostic des infections staphylococciques",,"Distinguer le diagnostic clinique des formes cutanées typiques de la nécessité de prélèvements microbiologiques pour les formes systémiques.",,1,true
prise-en-charge-globale,"Prise en Charge Globale des Infections Staphylococciques","Ce domaine synthétise les approches diagnostiques, thérapeutiques et préventives pour la gestion des infections staphylococciques.",3,staph-gestion-porte-entree,"Gérer la porte d'entrée et les foyers secondaires",,"Comprendre l'importance du traitement de la source de l'infection, incluant le drainage d'une collection, le retrait d'un cathéter ou l'ablation d'une prothèse.",,1,true
prise-en-charge-globale,"Prise en Charge Globale des Infections Staphylococciques","Ce domaine synthétise les approches diagnostiques, thérapeutiques et préventives pour la gestion des infections staphylococciques.",3,staph-prevention,"Appliquer les mesures de prévention des infections staphylococciques",,"Décrire les stratégies de prévention incluant l'hygiène des mains, les précautions standard, l'isolement des patients porteurs de SARM et l'éradication du portage.",,1,true
prise-en-charge-globale,"Prise en Charge Globale des Infections Staphylococciques","Ce domaine synthétise les approches diagnostiques, thérapeutiques et préventives pour la gestion des infections staphylococciques.",3,staph-traitement-antibiotique,"Choisir un traitement antibiotique anti-staphylococcique approprié",,"Sélectionner une antibiothérapie probabiliste puis adaptée à l'antibiogramme en fonction de la localisation de l'infection et du statut de résistance (SASM/SARM).",,1,true
prise-en-charge-globale,"Prise en Charge Globale des Infections Staphylococciques","Ce domaine synthétise les approches diagnostiques, thérapeutiques et préventives pour la gestion des infections staphylococciques.",3,staph-diagnostic-antibiogramme,"Interpréter l'antibiogramme pour guider le traitement",,"Utiliser les résultats de l'antibiogramme, notamment la sensibilité à la méticilline, pour choisir l'antibiothérapie la plus efficace et la plus appropriée.",staph-diagnostic,2,true
prise-en-charge-globale,"Prise en Charge Globale des Infections Staphylococciques","Ce domaine synthétise les approches diagnostiques, thérapeutiques et préventives pour la gestion des infections staphylococciques.",3,staph-diagnostic-prelevements,"Utiliser les hémocultures et prélèvements pour le diagnostic",,"Justifier la réalisation d'hémocultures en cas de suspicion d'infection systémique et de prélèvements au niveau de la porte d'entrée et des localisations métastatiques.",staph-diagnostic,2,true
prise-en-charge-globale,"Prise en Charge Globale des Infections Staphylococciques","Ce domaine synthétise les approches diagnostiques, thérapeutiques et préventives pour la gestion des infections staphylococciques.",3,staph-prevention-eradication-portage,"Appliquer les stratégies d'éradication du portage nasal",,"Décrire le protocole d'éradication du portage nasal de S. aureus (ex: mupirocine nasale) dans des situations spécifiques comme la furonculose récidivante.",staph-prevention,2,true
prise-en-charge-globale,"Prise en Charge Globale des Infections Staphylococciques","Ce domaine synthétise les approches diagnostiques, thérapeutiques et préventives pour la gestion des infections staphylococciques.",3,staph-prevention-precautions-isolement,"Mettre en œuvre les précautions standard et l'isolement",,"Appliquer les mesures d'hygiène de base et les précautions contact pour limiter la transmission interhumaine, notamment pour les patients colonisés ou infectés par le SARM.",staph-prevention,2,true
prise-en-charge-globale,"Prise en Charge Globale des Infections Staphylococciques","Ce domaine synthétise les approches diagnostiques, thérapeutiques et préventives pour la gestion des infections staphylococciques.",3,staph-traitement-classes-atb,"Identifier les principales classes d'antibiotiques anti-staphylococciques",,"Lister les familles d'antibiotiques actives sur les staphylocoques, telles que les bêta-lactamines (Pénicilline M), les glycopeptides et d'autres alternatives.",staph-traitement-antibiotique,2,true
prise-en-charge-globale,"Prise en Charge Globale des Infections Staphylococciques","Ce domaine synthétise les approches diagnostiques, thérapeutiques et préventives pour la gestion des infections staphylococciques.",3,staph-traitement-endocardite-bacteriemie,"Traiter une bactériémie ou une endocardite staphylococcique",,"Élaborer un schéma thérapeutique pour une bactériémie ou une endocardite, en tenant compte de la sensibilité de la souche (SARM/SASM) et de la présence de matériel prothétique.",staph-traitement-antibiotique,2,true
prise-en-charge-globale,"Prise en Charge Globale des Infections Staphylococciques","Ce domaine synthétise les approches diagnostiques, thérapeutiques et préventives pour la gestion des infections staphylococciques.",3,staph-traitement-ioa,"Traiter une infection ostéoarticulaire staphylococcique",,"Définir la durée et le choix des antibiotiques (phase IV puis relais oral) pour le traitement d'une arthrite ou d'une spondylodiscite à staphylocoque.",staph-traitement-antibiotique,2,true
prise-en-charge-globale,"Prise en Charge Globale des Infections Staphylococciques","Ce domaine synthétise les approches diagnostiques, thérapeutiques et préventives pour la gestion des infections staphylococciques.",3,staph-traitement-neuromeningee,"Traiter une localisation neuroméningée staphylococcique",,"Choisir les antibiotiques appropriés avec une bonne pénétration méningée pour traiter une méningite ou un abcès cérébral à staphylocoque.",staph-traitement-antibiotique,2,true
